gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0021900729,1610612753,Orlando,Magic,ORL,magic,240:00,489.0,97.8,560.4,112.1,-71.4,-14.3,0.636,2.1,17.2,0.208,0.711,0.439,10.989,11.0,0.452,0.492,1.0,0.98,18.2,91.0,75.83,91.0,0.413
0021900729,1610612748,Miami,Heat,MIA,heat,240:00,560.4,112.1,489.0,97.8,71.4,14.3,0.727,1.85,18.9,0.289,0.792,0.561,14.286,14.3,0.526,0.577,1.0,0.99,18.2,91.0,75.83,91.0,0.587
0022000509,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,500.0,100.0,595.0,119.0,-95.0,-19.0,0.615,2.67,17.5,0.237,0.833,0.463,9.091,9.1,0.448,0.476,1.0,0.991,19.9,99.5,82.92,99.0,0.381
0022000509,1610612746,LA,Clippers,LAC,clippers,240:00,595.0,119.0,500.0,100.0,95.0,19.0,0.773,2.0,24.3,0.167,0.763,0.537,17.0,17.0,0.638,0.677,1.0,0.981,19.9,99.5,82.92,100.0,0.619
0021901283,1610612748,Miami,Heat,MIA,heat,240:00,554.5,110.9,595.0,119.0,-40.5,-8.1,0.683,2.33,20.7,0.13,0.729,0.436,11.881,11.9,0.554,0.598,1.0,0.972,20.1,100.5,83.75,101.0,0.476
0021901283,1610612756,Phoenix,Suns,PHX,suns,240:00,595.0,119.0,554.5,110.9,40.5,8.1,0.614,2.45,19.3,0.271,0.87,0.564,11.0,11.0,0.543,0.59,1.0,0.991,20.1,100.5,83.75,100.0,0.524
0022101004,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,628.9,125.8,561.9,112.4,67.0,13.4,0.521,2.78,18.8,0.244,0.667,0.469,9.278,9.3,0.604,0.619,1.0,0.963,19.4,97.0,80.83,97.0,0.53
0022101004,1610612764,Washington,Wizards,WAS,wizards,240:00,561.9,112.4,628.9,125.8,-67.0,-13.4,0.538,1.91,15.6,0.333,0.756,0.531,11.34,11.3,0.512,0.548,1.0,0.974,19.4,97.0,80.83,97.0,0.47
0022000955,1610612756,Phoenix,Suns,PHX,suns,240:00,630.2,126.0,520.8,104.2,109.4,21.9,0.563,2.45,19.9,0.302,0.826,0.573,11.458,11.5,0.608,0.628,1.0,0.982,19.2,96.0,80.0,96.0,0.598
0022000955,1610612762,Utah,Jazz,UTA,jazz,240:00,520.8,104.2,630.2,126.0,-109.4,-21.9,0.629,1.57,17.5,0.174,0.698,0.427,14.583,14.6,0.525,0.569,1.0,0.971,19.2,96.0,80.0,96.0,0.402
0022300358,1610612758,Sacramento,Kings,SAC,kings,240:00,674.5,134.9,623.8,124.8,50.7,10.1,0.66,5.0,22.7,0.286,0.857,0.549,6.604,6.6,0.615,0.642,1.0,0.983,21.1,105.5,87.92,106.0,0.541
0022300358,1610612764,Washington,Wizards,WAS,wizards,240:00,623.8,124.8,674.5,134.9,-50.7,-10.1,0.591,2.17,19.0,0.143,0.714,0.451,11.429,11.4,0.624,0.667,1.0,0.982,21.1,105.5,87.92,105.0,0.459
