GROUP_SET,DESCRIPTION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Season
VS OVERALL,J. Harden's AND G. Antetokounmpo's combined stats,5521.455,1030,2250,0.458,215,599,0.359,972,1171,0.83,175,826,1001,772,494,227,145,171,462,828,3247,171.5,2014-15
OVERALL,R. Westbrook's AND S. Curry's combined stats,4915.0233333333335,1280,2812,0.455,372,934,0.398,854,991,0.862,180,649,829,1193,542,303,30,124,342,741,3786,583.0,2014-15
INDIVIDUAL,S. Curry,2613.2,653,1341,0.487,286,646,0.443,308,337,0.914,56,285,341,619,249,163,16,36,158,298,1900,459.5,2014-15
INDIVIDUAL,R. Westbrook,2301.8233333333333,627,1471,0.426,86,288,0.299,546,654,0.835,124,364,488,574,293,140,14,88,184,443,1886,123.5,2014-15
VS INDIVIDUAL,J. Harden,2980.865,647,1470,0.44,208,555,0.375,715,824,0.868,75,384,459,565,321,154,60,106,208,542,2217,167.5,2014-15
VS INDIVIDUAL,G. Antetokounmpo,2540.59,383,780,0.491,7,44,0.159,257,347,0.741,100,442,542,207,173,73,85,65,254,286,1030,4.0,2014-15
OVERALL,R. Westbrook's AND S. Curry's combined stats,5449.443333333334,1461,3042,0.48,503,1227,0.41,828,973,0.851,213,843,1056,1361,604,332,35,136,361,790,4253,828.0,2015-16
VS OVERALL,J. Harden's AND G. Antetokounmpo's combined stats,5948.048333333333,1223,2630,0.465,264,766,0.345,1016,1246,0.815,176,937,1113,957,582,233,164,157,487,886,3726,-23.0,2015-16
VS INDIVIDUAL,G. Antetokounmpo,2823.4133333333334,513,1013,0.506,28,109,0.257,296,409,0.724,113,499,612,345,208,94,113,62,258,331,1350,-85.0,2015-16
VS INDIVIDUAL,J. Harden,3124.635,710,1617,0.439,236,657,0.359,720,837,0.86,63,438,501,612,374,139,51,95,229,555,2376,62.0,2015-16
