GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_ABBREVIATION,SEASON
Overall,2014   ,2014   ,6,2,4,0.333,246.0,162,387,0.419,37,126,0.294,108,134,0.806,52,149,201,72,114.0,49,20,17,149,143,469,-14.0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612737,ATL,2014-15
Overall,2014-15,2014-15,82,60,22,0.732,3946.0,3121,6699,0.466,818,2152,0.38,1349,1735,0.778,715,2611,3326,2111,1167.0,744,380,404,1457,1611,8409,445.0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612737,ATL,2014-15
Overall,2014   ,2014   ,5,3,2,0.6,200.0,142,369,0.385,41,152,0.27,91,122,0.746,51,121,172,88,65.0,53,15,23,122,114,416,-9.0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612738,BOS,2014-15
Overall,2014-15,2014-15,82,40,42,0.488,3976.0,3193,7211,0.443,660,2021,0.327,1266,1678,0.754,910,2685,3595,2009,1133.0,674,294,431,1738,1545,8312,13.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612738,BOS,2014-15
Overall,2014   ,2014   ,5,4,1,0.8,200.0,146,311,0.469,28,103,0.272,103,142,0.725,41,138,179,60,83.0,29,18,23,122,129,423,22.0,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612739,CLE,2014-15
Overall,2014-15,2014-15,82,53,29,0.646,3956.0,3089,6739,0.458,826,2253,0.367,1453,1934,0.751,911,2612,3523,1814,1171.0,603,340,368,1510,1685,8457,367.0,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612739,CLE,2014-15
Overall,2014   ,2014   ,5,2,3,0.4,200.0,153,336,0.455,40,102,0.392,66,107,0.617,56,119,175,64,70.0,30,23,17,110,115,412,-31.0,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1610612740,NOP,2014-15
Overall,2014-15,2014-15,82,45,37,0.549,3956.0,3108,6795,0.457,586,1583,0.37,1345,1790,0.751,942,2621,3563,1806,1087.0,553,510,475,1530,1533,8147,65.0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1610612740,NOP,2014-15
Overall,2014   ,2014   ,5,4,1,0.8,200.0,150,331,0.453,52,123,0.423,84,107,0.785,36,132,168,79,62.0,35,14,23,111,96,436,69.0,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1610612741,CHI,2014-15
Overall,2014-15,2014-15,82,50,32,0.61,3976.0,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,959,2792,3751,1781,1145.0,514,476,443,1495,1736,8265,246.0,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1610612741,CHI,2014-15
